0.01 1.1 2.21 4.886666667
0.02 1.211 2.442146667 4.780665556
0.03 1.334114667 2.69891134 4.682755537
0.04 1.470594334 2.983001005 4.593888628
0.05 1.621835001 3.297379943 4.515252775
0.06 1.789389495 3.645289994 4.448324096
0.07 1.974979545 4.030268308 4.394930557
0.08 2.180508421 4.456160918 4.357329383
0.09 2.408073671 4.927129733 4.338300897
0.1 2.659979277 5.447649582 4.341261787
0.11 2.938746308 6.02249062 4.370401156
0.12 3.247120739 6.656679677 4.430842846
0.13 3.588076633 7.35543187 4.528837463
0.14 3.964812156 8.12404085 4.671986996
0.15 4.380735026 8.967712337 4.869503635
0.16 4.839432757 9.891320969 5.13250192
0.17 5.344621578 10.89906495 5.47431903
0.18 5.900065916 11.99398671 5.910850966
0.19 6.509457995 13.17732119 6.460881395
0.2 7.176244315 14.44762786 7.146363413
0.21 7.90338267 15.79965949 7.992590795
0.22 8.693010352 17.22292501 9.028162591
0.23 9.546001818 18.69991955 10.28460224
0.24 10.46139359 20.20403255 11.79544084
0.25 11.43565749 21.69721493 13.59451912
0.26 12.46181323 23.12760424 15.71321779
0.27 13.52839233 24.42748404 18.1763175
0.28 14.6183015 25.51219551 20.99626157
0.29 15.7076909 26.28090116 24.16581093
0.3 16.76501193 26.62035472 27.64951202
0.31 17.75054621 26.41291052 31.37509735
0.32 18.61678264 25.5496832 35.22686397
0.33 19.3100727 23.94877681 39.04400992
0.34 19.77394311 21.5766827 42.62736253
0.35 19.95421707 18.46850953 45.75719383
0.36 19.80564631 14.74051543 48.22224847
0.37 19.29913322 10.58796327 49.8557762
0.38 18.42801623 6.264108271 50.56967397
0.39 17.21162543 2.042324007 50.37550022
0.4 15.69469529 -1.82928652 49.3836707
0.41 13.94229711 -5.167095613 47.77967187
0.42 12.03135784 -7.873165277 45.78513547
0.43 10.04090553 -9.934226914 43.61694983
0.44 8.043392282 -11.40296782 41.45634483
0.45 6.098756271 -12.37128475 39.43365687
0.46 4.25175217 -12.94488276 37.62759818
0.47 2.532088676 -13.22477555 36.07381123
0.48 0.9564022533 -13.29696386 34.77697989
0.49 -0.4689343576 -13.22880941 33.72242129
0.5 -1.744921862 -13.06968691 32.88519116
0.51 -2.877398367 -12.85374727 32.23630855
0.52 -3.875033258 -12.60331433 31.74652717
0.53 -4.747861365 -12.33210201 31.38833574
0.54 -5.50628543 -12.04790751 31.13682456
0.55 -6.160447638 -11.75470592 30.96990141
0.56 -6.719873466 -11.45419964 30.86817988
0.57 -7.193306083 -11.14691958 30.81473613
0.58 -7.588667433 -10.8329778 30.79484188
0.59 -7.91309847 -10.51255677 30.79572476
0.6 -8.1730443 -10.18620275 30.8063744
0.61 -8.374360145 -9.854974498 30.81739395
0.62 -8.52242158 -9.520486037 30.82088783
0.63 -8.622228026 -9.184873224 30.81037344
0.64 -8.678492546 -8.850707685 30.7807042
0.65 -8.69571406 -8.520877401 30.72799343
0.66 -8.678230394 -8.198450119 30.6495314
0.67 -8.630252366 -7.886533179 30.54369096
0.68 -8.555880448 -7.588140898 30.40982025
0.69 -8.459106493 -7.30607815 30.24812397
0.7 -8.343803658 -7.042846167 30.05953626
0.71 -8.213707909 -6.800574044 29.84558988
0.72 -8.072394523 -6.580976941 29.60828678
0.73 -7.923252764 -6.385339918 29.34997488
0.74 -7.76946148 -6.214524596 29.07323551
0.75 -7.613967791 -6.068994731 28.78078432
0.76 -7.459470485 -5.948856117 28.47538805
0.77 -7.308409049 -5.853906125 28.15979753
0.78 -7.162958756 -5.783688406 27.836697
0.79 -7.025031721 -5.737548849 27.5086683
0.8 -6.896283434 -5.714689568 27.17816843
0.81 -6.778124047 -5.714218507 26.84751847
0.82 -6.671733493 -5.73519295 26.51890146
0.83 -6.578079439 -5.776655967 26.19436754
0.84 -6.497937092 -5.837665345 25.87584409
0.85 -6.431909917 -5.917315006 25.56514941
0.86 -6.380450426 -6.014749253 25.26400846
0.87 -6.343880309 -6.129170344 24.97406966
0.88 -6.322409312 -6.25984004 24.6969217
0.89 -6.316152385 -6.406075769 24.43410983
0.9 -6.325144724 -6.567242069 24.18715108
0.91 -6.349354458 -6.74273786 23.95754795
0.92 -6.388692798 -6.931980091 23.74680033
0.93 -6.443021528 -7.134384152 23.55641523
0.94 -6.51215779 -7.349341433 23.38791407
0.95 -6.595876154 -7.576194332 23.24283707
0.96 -6.693907972 -7.814208964 23.12274448
0.97 -6.805938071 -8.062545871 23.02921391
0.98 -6.931598851 -8.320229035 22.96383342
0.99 -7.07046187 -8.58611361 22.92818943
1 -7.222027044 -8.858852906 22.92384893
1.01 -7.38570963 -9.13686538 22.95233505
1.02 -7.560825205 -9.418302602 23.01509513
1.03 -7.746572945 -9.70101952 23.11346065
1.04 -7.942017602 -9.98254866 23.24859826
1.05 -8.146070708 -10.26008034 23.42145141
1.06 -8.357471671 -10.53045134 23.63267277
1.07 -8.574769638 -10.79014496 23.88254765
1.08 -8.79630717 -11.03530557 24.17090979
1.09 -9.020207009 -11.26177105 24.49705157
1.1 -9.244363413 -11.46512654 24.85963192
1.11 -9.466439726 -11.64078231 25.25658636
1.12 -9.683873984 -11.78407808 25.68504504
1.13 -9.893894394 -11.89041462 26.14126577
1.14 -10.09354642 -11.95541168 26.62059042
1.15 -10.27973294 -11.97508891 27.11743303
1.16 -10.44926854 -11.94606355 27.62530865
1.17 -10.59894804 -11.86575542 28.13691001
1.18 -10.72562878 -11.73258684 28.64423766
1.19 -10.82632458 -11.54616243 29.13878503
1.2 -10.89830837 -11.30741225 29.61177579
