1 0.001 9.015552949e-08  1.401775918e-07 
0.9996 0.0012 1.298829811e-07  2.017035879e-07 
0.99936 0.00144 1.871085143e-07  2.903048763e-07 
0.998784 0.001728 2.696117413e-07  4.17584689e-07 
0.9994752 0.0020736 3.882495239e-07  6.019058996e-07 
0.99781632 0.00248832 5.598547267e-07  8.642047807e-07 
0.997318656 0.002985984 8.068713601e-07  1.243132085e-06 
0.9997074432 0.0035831808 1.161192149e-06  1.796655271e-06 
0.9975575347 0.00429981696 1.675451148e-06  2.577126989e-06 
0.9958376079 0.005159780352 2.417241498e-06  3.698959352e-06 
0.996869564 0.006191736422 3.483053213e-06  5.332922156e-06 
0.9956312167 0.007430083707 5.025963614e-06  7.658999029e-06 
0.9986032502 0.008916100448 7.238406138e-06  1.107535521e-05 
0.99503681 0.01069932054 1.046383202e-05  1.584044959e-05 
0.9886172177 0.01283918465 1.515197753e-05  2.254226459e-05 
0.9860493808 0.01540702157 2.190723128e-05  3.227851354e-05 
0.998374998 0.01848842589 3.146737429e-05  4.737976911e-05 
0.998374998 0.02218611107 4.550111446e-05  6.810131887e-05 
0.9850633314 0.02662333328 6.624715612e-05  9.567004593e-05 
0.990387998 0.03194799994 9.57231635e-05  0.0001386387778 
0.996777598 0.03833759992 0.0001384013419  0.0002011527402 
0.9661075181 0.04600511991 0.0002032460817  0.0002735338692 
0.99371059 0.05520614389 0.0002925501118  0.000411304399 
0.99371059 0.06624737267 0.0004260953647  0.0005888016659 
0.9539621664 0.0794968472 0.0006286219928  0.0007837562956 
0.9539621664 0.09539621664 0.000918367167  0.001117871729 
