1.57 0.0001 7.850305175e-05  6.77478428e-08 
1.56996 0.00012 9.420199681e-05  8.632019282e-08 
1.569888 0.000144 0.0001130382667  1.135280116e-07 
1.569888 0.0001728 0.0001356474503  1.388399082e-07 
1.56992256 0.00020736 0.0001627827334  1.647391197e-07 
1.569881088 0.000248832 0.0001953372838  2.111876179e-07 
1.569731789 0.0002985984 0.0002343869717  2.961778442e-07 
1.569791508 0.00035831808 0.0002812816644  3.498387994e-07 
1.569863172 0.000429981696 0.0003375629077  4.117788579e-07 
1.569605183 0.0005159780352 0.0004050223916  6.217903384e-07 
1.569605183 0.0006191736422 0.0004860464846  7.796320641e-07 
1.569976687 0.0007430083707 0.0005834224412  7.672726231e-07 
1.569233679 0.0008916100448 0.0006998152301  1.509687439e-06 
1.569590323 0.001069932054 0.0008400283117  1.612512956e-06 
1.568948364 0.001283918465 0.001007704137  2.725180783e-06 
1.569975498 0.001540702157 0.00121016111  2.237086725e-06 
1.569667358 0.001848842589 0.001452081757  3.430439053e-06 
1.568558052 0.002218611107 0.001741510428  6.476069333e-06 
1.56811433 0.002662333328 0.00208957681  9.31693188e-06 
1.568646797 0.003194799994 0.002508868289  1.0743192e-05 
1.568007837 0.003833759992 0.003010149077  1.609892283e-05 
1.568774589 0.004600511991 0.003615033698  1.841610548e-05 
1.567854487 0.005520614389 0.004337006108  2.875560286e-05 
1.563437995 0.006624737267 0.005191691318  6.119325266e-05 
1.56608789 0.00794968472 0.006243943785  6.259548254e-05 
1.564497953 0.009539621664 0.00748947917  9.498468648e-05 
1.568313802 0.011447546 0.009016288168  9.150292666e-05 
1.566024292 0.0137370552 0.01081270897  0.0001511604701 
1.566024292 0.01648446624 0.01298857925  0.0002056524106 
1.562727399 0.01978135948 0.01557123641  0.0003326113134 
1.566683671 0.02373763138 0.01876186698  0.0003768465234 
1.566683671 0.02848515766 0.02255311094  0.0005258419184 
1.538198513 0.03418218919 0.02658799944  0.00148195111 
1.558707827 0.04101862702 0.03244309347  0.001293926242 
1.525892925 0.04922235243 0.03812426534  0.002991925068 
1.535737396 0.05906682292 0.04622177196  0.003487122641 
1.559364125 0.0708801875 0.0566346429  0.003398788689 
1.53101205 0.085056225 0.066811151  0.006585058003 
